categorie,mot_cle0,mot_cle1,mot_cle2,mot_cle3,intensite,phrase
mensonge,ensemble,,,,3,Ensemble - tout sera possible
conversation,cheveux,toucher,,,3,Est-ce que je peux toucher tes beaux cheveux ?
conversation,aujourd_hui,activite,,,0,Qu'est-ce que tu as fait aujourd'hui ?
conversation,animal,,,,0,Quel est ton animal préféré ?
mensonge,toi,ensemble,,,2,Je serai toujours là pour toi
mensonge,,,,,0,Je te promets de te conquérir chaque jour
mensonge,confiance,sensibilite,,,0,Je te fais entièrement confiance
mensonge,femmes,,,,0,Les autres femmes ? Je n'en ai que faire.
mensonge,plaisir,,,,1,Ça me fait toujours plaisir de te voir
compliment,langage,yeux,,,0,Le plus beau langage du monde est celui que tes yeux utilisent.
compliment,maquillage,beaute,soin,,0,"Tu ne portes pas de maquillage. Really ?"" -"
compliment,beaute,delit,,,0,Si tu étais un délit - tu serais un excès de beauté. -
compliment,sport,soin,beaute,,0,Ouah - tu ne mentais pas quand tu disais aller à la gym. -
compliment,beaute,peinture,art,,0,Je pourrais te contempler éternellement. -
compliment,peinture,beaute,art,,0,Rodin n'aurait pas fait mieux que Toi. -
compliment,passion,art,toi,,1,Tu m'inspires. -
compliment,sensuel,voix,caresse,,4,Le son de ta voix me caresse jusqu'en bas du dos. -
compliment,yeux,cœur,sensibilite,,3,La courbe de tes yeux fait le tour de mon coeur. -
compliment,intelligence,toi,,,1,Tu es tellement intelligent. -
compliment,dimanche,activite,weekend,,1,Tu illumines mes dimanches. -
compliment,,,,,0,Tu es le sucre de mes Kellogg's Corn Flakes. -
compliment,joie,toi,ensemble,,,Ta bonne humeur est tellement communicative -
compliment,activite,toi,,,,Avec toi - on ne s’ennuie jamais ! -
compliment,toi,,,,,Tu dégages quelque chose de fort -
compliment,toi,,,,,Tu es vraiment géniale -
compliment,cheveux,beaute,,,,Que tes cheveux sont doux et beaux
mensonge,weekend,activite,caritatif,,,Je travaille tous les week-end dans une association cartitative
mensonge,activite,caritatif,,,,Aider les autres c'est vraiment mon leitmotiv dans la vie
mensonge,animal,,,,,J'adore les animaux
conversation,animal,chat,,,,Les girafes sont vraiment des animaux exeptionnels
conversation,animal,girafe,,,,Les chats sont vraiment des animaux exeptionnels
conversation,animal,chien,,,,Les chiens sont vraiment des animaux exeptionnels
mensonge,soin,activite,toi,,,J'aime prendre soin de ma petite chérie
mensonge,fidelite,,,,,Quand je suis avec une femme je ne vois plus les autres autour
mensonge,fidelite,sensibilite,,,,L'infidelité est une chose qui me dégoûte
mensonge,pauvrete,caritatif,sensibilite,,,Que des gens vivent dans la misère ça me révolte
mensonge,cuisine,passion,,,,La cuisine ? C'est ma passion
action,fesses,toucher,,,,Main au fesses
action,œil,,,,,Clin d'oeil
action,yeux,regard,,,,Regard ténébreux
action,bouche,,,,,Fait la moue
action,bouche,sourire,,,,Sourire langoureux
action,cheveux,,,,,Main dans les cheveux
action,bouche,sourire,,,,Sourire en coin
action,,,,,,Tête penchée
action,yeux,regard,,,,Regard franc
action,yeux,regard,,,,Eye contact de canaille
action,,,,,,Toucher d'oreille
action,chemise,sensuel,,,,Enlève un bouton de ta chemise
action,sensuel,torride,chaleur,,,Arrache ton tee-shirt
action,yeux,regard,,,,Regard au fond des yeux
action,,,,,,Doigt sur la joue
action,bouche,sourire,,,,Sourire avec les dents
action,sensuel,,,,,Pincement de lèvre
action,toucher,bras,,,,Touche son avant-bras
conversation,cinema,passion,,,,Tu aimes le cinéma ?
mensonge,sport,soin,salle,,,Hier soir j'étais à la salle de sport.
mensonge,sport,salle,,,,J'adore faire des pompes.
mensonge,soin,corps,,,,Prendre soin de mon corps c'est primordial.
mensonge,bio,cuisine,ecologie,,,Je ne mange presque que du bio
mensonge,ecologie,conviction,,,,L'avenir de notre planète est très important
mensonge,ecologie,conviction,,,,Je pense toujours à la planète quand je prends ma voiture électrique
mensonge,cuisine,ecologie,soin,,,C'est pour ça que je cuisine tout moi-même
conversation,soin,corps,,,,C'est bien plus sain de vivre comme ça
mensonge,musee,voyage,art,,,Je visite souvent des musées quand je suis en voyage
mensonge,art,sensibilite,,,,L'art est vraiment quelque chose qui me touche profondément
conversation,art,,,,,Est-ce que tu aimes l'art ?
compliment,art,peinture,mystere,,,Tu ressemble à un tableau du Caravage : claire et mystérieuse à la fois
mensonge,trek,voyage,sport,,,Je fais souvent du trek
